Type,Detail Date,Part ID,Part Description,Site,Part Storeroom,Quantity
Usage,09/08/2015 04:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,4
Usage,11/05/2015 05:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,4
Usage,09/05/2018 04:00:00,33711,Fuel Filter,Richmond VA Shop,Main Parts Room - VA,1
Usage,09/05/2018 04:00:00,6418,Filter Air,Richmond VA Shop,Main Parts Room - VA,1
Usage,09/05/2018 04:00:00,51372,Filter Oil,Richmond VA Shop,Main Parts Room - VA,1
Usage,09/05/2018 04:00:00,15729,"Mount, Stop & Taillight",Richmond VA Shop,Main Parts Room - VA,1
Usage,10/13/2015 04:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,10/13/2015 04:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/01/2016 15:53:05,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/01/2016 05:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/26/2016 05:00:00,11R/22.5 Steer,Tire Steer,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,03/07/2016 05:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,20
Usage,03/07/2016 05:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,20
Usage,03/07/2016 05:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,12/06/2018 05:00:00,6418,Filter Air,Richmond VA Shop,Main Parts Room - VA,1
Usage,07/13/2020 20:57:54,33711,Fuel Filter,Richmond VA Shop,Main Parts Room - VA,1
Usage,12/06/2019 05:00:00,51372,Filter Oil,Richmond VA Shop,Main Parts Room - VA,1
Usage,06/25/2019 04:00:00,33691,Filter Fuel,Richmond VA Shop,Main Parts Room - VA,1
Usage,06/25/2019 04:00:00,51372,Filter Oil,Richmond VA Shop,Main Parts Room - VA,1
